CJ Anderson,10.82,14.64,9.42,15.09,1.9,,,,8.03,7.46,7.32,11.82,0.3,,,
DeMarco Murray,11.43,18.09,12.27,21.94,18.44,14.5,11.22,,6.46,6.21,8.08,5.88,7,3.6,10.38,
Alex Collins,11.4,3.99,,,,,,,6.88,3.58,,,,,,
Frank Gore,10.59,13.39,12.09,9.9,11.93,14.04,12.09,18.41,3.62,4.74,5.76,6.98,5.92,5.61,6.88,7.73
Tevin Coleman,11.19,14.7,3.55,,,,,,5.21,7.99,3.12,,,,,
Javorius Allen,10.38,2.63,9.12,,,,,,5.95,1.84,9.33,,,,,
Chris Thompson,12.68,9.22,7.12,7.95,,,,,8.56,4.15,5.52,4.45,,,,
Marshawn Lynch,10.95,,11.53,18.89,17.21,16.85,16.24,8.64,6.08,,4.4,9.11,8.94,6.99,7.43,7.13
Latavius Murray,9.84,14.87,12.8,8.57,,,,,7.5,7.83,5.37,6.92,,,,
Theo Riddick,9.63,16.18,11.22,7.28,1.68,,,,6.06,7.41,4.55,7.2,1.99,,,
Giovani Bernard,9.48,12.23,11.33,14.45,13.93,,,,7.75,5.48,4.58,7.27,6.79,,,
Bilal Powell,9.68,12.31,12.28,2.88,8.68,7.05,6.01,,6.83,9.58,7.27,2.65,4.42,5.31,6.11,
Jamaal Williams,10.2,,,,,,,,10.04,,,,,,,
Isaiah Crowell,8.84,12.77,8.61,8.16,,,,,5.13,6.12,7.21,5.19,,,,
Joe Mixon,10.09,,,,,,,,5.16,,,,,,,
Kenyan Drake,10.02,3.35,,,,,,,8.86,3.55,,,,,,
Tarik Cohen,8.71,,,,,,,,6,,,,,,,
Orleans Darkwa,9.14,6.58,3.43,4.53,,,,,5.77,5.49,3.01,4.86,,,,
Jay Ajayi,9.65,14.35,4.52,,,,,,3.23,8.86,3.62,,,,,
Derrick Henry,8.44,7.55,,,,,,,6.35,5.74,,,,,,
James White,9.57,10.11,10.22,3.7,,,,,5.11,5.74,8.55,2.1,,,,
Rex Burkhead,11.61,8.43,1.98,5.15,,,,,5.22,7.56,2.27,1.92,,,,
Ameer Abdullah,8.89,13.4,7.79,,,,,,4.12,9.6,4.62,,,,,
Matt Forte,10.12,13.11,16.36,21.41,21.02,14.76,18.41,16.41,7.09,9.36,6.34,8.35,7.88,5.83,8.2,9.15
Jonathan Stewart,7.81,11.26,12.52,11.25,4.9,8.7,12.15,7.52,7.03,6.88,5.09,5.25,2.56,3.43,4.47,4.94
Samaje Perine,8.35,,,,,,,,5.45,,,,,,,
Austin Ekeler,8.22,,,,,,,,7.11,,,,,,,
LeGarrette Blount,6.53,14.56,10.22,5.59,7.56,2.83,9.42,10.55,4.53,5.74,8.82,4.56,7.96,3.68,6.74,6.71
Wayne Gallman,8.07,,,,,,,,4.98,,,,,,,
Matt Breida,6.47,,,,,,,,4.82,,,,,,,
Marlon Mack,7.38,,,,,,,,4.8,,,,,,,
JD McKissic,8.11,3.8,,,,,,,4.06,0,,,,,,
Rod Smith,9.24,1.4,0.7,,,,,,8.85,0,0.67,,,,,
Ty Montgomery,11.45,10.81,8.4,,,,,,8.81,8.74,4.25,,,,,
Devontae Booker,7.03,9.04,,,,,,,4.23,6.14,,,,,,
Corey Clement,6.46,,,,,,,,6.09,,,,,,,
TJ Yeldon,8.77,9.18,12.99,,,,,,7.06,5.24,4.74,,,,,
Andre Ellington,7.95,2.32,7.47,14.79,11.02,,,,6.15,1.2,5.3,7.25,6.28,,,
Jalen Richard,5.74,7.23,,,,,,,4.69,5.61,,,,,,
Shane Vereen,5.71,7.64,9.91,10.43,16.81,6.36,6.67,,3.33,4.67,7.57,6.61,8.45,6.03,4.72,
Peyton Barber,7.79,4.01,,,,,,,5.81,4.54,,,,,,
DeAndre Washington,5.67,6.55,,,,,,,5.18,5.77,,,,,,
Chris Ivory,6.04,8.59,13.51,9.52,6.95,6.2,5.73,8.36,5.95,5.35,7.03,5.43,5.88,5.54,5.7,7.57
Aaron Jones,8,,,,,,,,7.49,,,,,,,
Adrian Peterson,7.89,3,16.29,11.3,16.62,21.59,17.27,18.39,7.68,1.35,7.82,0,9.01,7.73,9.04,9.88
Elijah McGuire,4.95,,,,,,,,6.1,,,,,,,
